               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10404,            0.060046,            0.031528,             0.70687,            0.057624,            0.024794,           0.0061364,            0.080203,            0.051774,            0.027492,            0.070698,           0.0032558,           0.0032558
                   1,             0.07792,            0.049368,             0.01977,              0.7255,             0.11835,            0.059187,            0.019102,            0.078241,              0.0358,            0.028789,            0.040632,           0.0065239,           0.0065239
                   2,            0.074933,             0.04119,            0.018657,             0.79828,             0.16268,             0.15065,             0.05899,            0.073759,            0.031047,            0.026328,            0.010501,            0.009726,            0.009726
                   3,            0.069463,            0.036247,            0.018787,             0.82042,             0.16774,             0.18336,             0.06818,            0.055976,            0.032966,            0.025688,            0.009703,            0.009703,            0.009703
                   4,            0.058778,            0.037873,            0.016838,             0.30696,              0.3788,             0.34987,             0.13146,            0.045812,             0.03228,            0.024709,            0.009703,            0.009703,            0.009703
                   5,            0.052982,            0.034947,            0.015687,             0.62476,             0.41857,             0.36516,             0.13026,            0.048201,            0.032079,            0.022581,            0.009604,            0.009604,            0.009604
                   6,            0.048089,            0.033482,             0.01348,             0.68416,             0.44762,             0.42847,             0.20091,            0.041668,            0.029938,             0.02045,            0.009505,            0.009505,            0.009505
                   7,            0.046465,            0.031641,            0.011179,              0.8252,             0.50052,             0.52264,             0.23395,            0.038886,            0.029874,            0.018404,            0.009406,            0.009406,            0.009406
                   8,            0.044964,            0.034205,           0.0094938,             0.79379,             0.51105,             0.51367,             0.23681,             0.04104,            0.028978,            0.016535,            0.009307,            0.009307,            0.009307
                   9,            0.043686,            0.031721,           0.0081514,             0.84487,             0.50897,             0.55287,             0.26832,            0.038992,            0.028782,             0.01644,            0.009208,            0.009208,            0.009208
                  10,            0.041324,            0.030921,           0.0085046,             0.88461,             0.49523,             0.56949,             0.29408,            0.036978,            0.028678,            0.016397,            0.009109,            0.009109,            0.009109
                  11,            0.040071,             0.03052,           0.0081756,             0.88225,             0.52506,             0.58477,             0.29994,            0.034892,            0.029115,            0.016019,             0.00901,             0.00901,             0.00901
                  12,             0.03894,            0.032163,           0.0075962,             0.86521,             0.49536,             0.56059,             0.26764,            0.037699,            0.028508,            0.016326,            0.008911,            0.008911,            0.008911
                  13,            0.039441,            0.032125,           0.0066744,             0.90024,              0.5219,             0.60118,             0.31588,            0.034808,            0.028694,            0.015715,            0.008812,            0.008812,            0.008812
                  14,            0.037679,            0.029745,           0.0069929,             0.89605,             0.52348,             0.61583,             0.34895,            0.030947,            0.027553,            0.016337,            0.008713,            0.008713,            0.008713
                  15,            0.036036,             0.03012,           0.0062413,             0.92468,             0.50959,              0.6034,             0.34177,            0.030307,            0.027813,            0.015318,            0.008614,            0.008614,            0.008614
                  16,            0.035928,            0.029398,           0.0062882,             0.91024,             0.52527,             0.59843,             0.32196,            0.033742,             0.02856,            0.015225,            0.008515,            0.008515,            0.008515
                  17,            0.035624,             0.02972,           0.0064788,             0.90133,             0.52982,             0.62419,             0.33827,            0.031946,            0.028746,            0.015287,            0.008416,            0.008416,            0.008416
                  18,            0.034841,            0.028901,           0.0059141,             0.90557,             0.52616,              0.6393,             0.36041,            0.031148,               0.028,            0.015049,            0.008317,            0.008317,            0.008317
                  19,            0.034225,            0.030121,           0.0060169,             0.89632,             0.54285,             0.63273,             0.34154,            0.034094,            0.028502,            0.013236,            0.008218,            0.008218,            0.008218
                  20,            0.033703,            0.029094,            0.006179,             0.91615,             0.52351,             0.66757,             0.38502,            0.031353,            0.028401,            0.013082,            0.008119,            0.008119,            0.008119
                  21,            0.033167,            0.029213,           0.0056615,             0.90567,             0.54002,             0.65622,              0.3645,            0.031841,            0.028124,            0.012584,             0.00802,             0.00802,             0.00802
                  22,            0.032711,            0.028831,           0.0056116,             0.92372,             0.52802,             0.64556,             0.36255,            0.032318,            0.028231,            0.013459,            0.007921,            0.007921,            0.007921
